Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
20620449,7/9/2016 22:05,7/9/2016 22:09,70408,222,1039,Atwood St & Bates St,1040,Bigelow Blvd & Fifth Ave,Customer
20620525,7/9/2016 22:13,7/9/2016 22:31,70176,1066,1000,Liberty Ave & Stanwix St,1017,21st St & Penn Ave,Customer
20620640,7/9/2016 22:31,7/9/2016 22:40,70396,508,1011,Fort Duquesne Blvd & 7th St,1011,Fort Duquesne Blvd & 7th St,Customer
20620653,7/9/2016 22:33,7/9/2016 22:48,70236,921,1013,Isabella St & Federal St (PNC Park),1011,Fort Duquesne Blvd & 7th St,Customer
20620678,7/9/2016 22:36,7/9/2016 22:47,70338,711,1013,Isabella St & Federal St (PNC Park),1011,Fort Duquesne Blvd & 7th St,Customer
20620682,7/9/2016 22:36,7/9/2016 22:53,70424,1016,1034,Ellsworth Ave & N Neville St,1026,Penn Ave & S Whitfield St,Customer
20620685,7/9/2016 22:37,7/9/2016 22:46,70138,546,1013,Isabella St & Federal St (PNC Park),1011,Fort Duquesne Blvd & 7th St,Customer
20620690,7/9/2016 22:37,7/9/2016 22:52,70451,854,1013,Isabella St & Federal St (PNC Park),1017,21st St & Penn Ave,Customer
20620686,7/9/2016 22:37,7/9/2016 22:53,70206,984,1034,Ellsworth Ave & N Neville St,1026,Penn Ave & S Whitfield St,Customer
20620694,7/9/2016 22:38,7/9/2016 22:46,70033,472,1011,Fort Duquesne Blvd & 7th St,1011,Fort Duquesne Blvd & 7th St,Customer
20620695,7/9/2016 22:38,7/9/2016 22:53,70264,884,1013,Isabella St & Federal St (PNC Park),1017,21st St & Penn Ave,Customer
20620698,7/9/2016 22:39,7/9/2016 22:48,70122,555,1026,Penn Ave & S Whitfield St,1026,Penn Ave & S Whitfield St,Customer
20620728,7/9/2016 22:45,7/9/2016 22:54,70467,513,1034,Ellsworth Ave & N Neville St,1033,Ivy St & Walnut St   ,Customer
20620734,7/9/2016 22:46,7/10/2016 0:37,70163,6702,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
20620736,7/9/2016 22:46,7/10/2016 0:38,70198,6709,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
20620735,7/9/2016 22:46,7/10/2016 0:38,70269,6712,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
20620733,7/9/2016 22:46,7/10/2016 0:38,70304,6763,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
20620804,7/9/2016 22:56,7/9/2016 23:35,70293,2322,1013,Isabella St & Federal St (PNC Park),1031,Maryland Ave & Ellsworth Ave,Customer
20620806,7/9/2016 22:57,7/9/2016 23:35,70180,2284,1013,Isabella St & Federal St (PNC Park),1031,Maryland Ave & Ellsworth Ave,Customer
20620822,7/9/2016 23:00,7/9/2016 23:15,70140,878,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1016,17th St & Penn Ave,Customer
20620830,7/9/2016 23:02,7/9/2016 23:22,70387,1175,1013,Isabella St & Federal St (PNC Park),1015,Federal St & E North Ave,Customer
20620838,7/9/2016 23:03,7/10/2016 10:14,70275,40276,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
